ID,O que você entende por diversidade e inclusão?,,,Type of definition (HOW they define D&I),
#P01,Different ways of thinking and acting,T5,C2,T1. Defines diversity only,The respondent provides a definition of diversity but does not explicitly define inclusion.
#P02,"Affirmative policies for welcoming, treatment, promotion and recognition of people in spaces and moments that disregard their particularities.",T2,C6,T2. Defines inclusion only,The respondent provides a definition of inclusion but does not explicitly define diversity.
#P03,Include everyone regardless of how the person is,T2,C1,T3. Defines diversity and inclusion separately,"The respondent provides distinct definitions for diversity and inclusion (e.g., “diversity is…, inclusion is …”)."
#P04,When people of different types receive the necessary support to have access to the same opportunities.,T5,C3,T4. Defines diversity and inclusion complementarly,"The respondent frames diversity and inclusion as interdependent or sequential (e.g., “diversity without inclusion is meaningless”)."
#P05,Opportunity and equality for all,T5,C3,T5. Generic or vague definition,"The respondent provides a broad, abstract, or value-based definition without specifying what diversity or inclusion concretely mean."
#P06,Include people from distinct backgrounds and with varied personal characteristics in order to create diverse teams.,T4,"C1, C9",T6. Blank/Out of context,
#P07,"Diversity is about valuing the variety of characteristics of each individual, inclusion is the promotion of an environment where all individuals are respected and have the capacity to participate in an equal way",T3,"C1, C3, C5",Content of the definition (WHAT they mean),
#P08,"It would be having a greater plurality of people with different beliefs, tastes, genders, races, etc, in a way that none of these people feel in a negative way in the place in which they are inserted and are able to perform their role without harming the rights of others.",T4,"C1, C2, C4",C1. Demographic representation,"Mentions gender, race/ethnicity, disability, LGBTQIA+, age, religion, etc."
#P09,Treat different people as capable of contributing to mutual success.,T5,C5,C2. Cognitive or experiential diversity,"Mentions perspectives, backgrounds, experiences, ways of thinking."
#P10,"In my opinion, diversity and inclusion are concepts that should be understood in a complementary way. Diversity is, for me, a concept more related to individuals themselves and their unique aspects. This concept is related to the variety of beliefs, cultures, etc. On the other hand, inclusion is understood by me as the formation of environments that welcome different people while respecting their diversity.",T4,"C1, C2, C4",C3. Equal opportunity / equity,"Mentions fairness, equal access, equity, same chances for all."
#P11,"Diversity - people from different groups
Inclusion - equality of opportunity",T3,"C1, C3",C4. Belonging and respect,"Mentions feeling welcomed, respected, accepted, safe."
#P12,"Composition of the group of employees at all levels that represents in an egalitarian way the different groups that make up society. In addition, support so that these groups have all the necessary resources to perform their role.",T4,"C1, C3",C5. Participation and voice,"Mentions being heard, having space to participate or influence decisions."
#P13,Respect for lived experiences and life experiences.,T5,C4,C6. Organizational practices or policies,"Mentions concrete actions, programs, accommodations, quotas, initiatives."
#P14,NA,T6,,C7. Justice or anti-discrimination framing,"Mentions discrimination, historical inequality, minorities, underrepresentation."
#P15,"ensure that any differences that exist are not relevant or determining in the exercise of work, that is, regardless of their differences you have the capacity and peace of mind to perform your work.",T5,"C3, C5",C8. Meritocracy / skills-first framing,"Emphasizes competence, technical skills, “regardless of background”."
#P16,Include diverse people in the organization based on the diversity of the Brazilian population.,T4,C1,C9. Instrumental or business outcomes,"Mentions innovation, performance, productivity, better teams/products."
#P17,"Diversity is the capacity that an entity (public or private) has to be able to reflect at all its hierarchical levels the many human differences that are present in its social context.

By inclusion I understand it as the process with clear objectives and goals of opening space for social groups with low representation within the diversity structure of a public or private entity.",T3,"C1, C7",C.10 Hate Comments,
#P18,"I believe it is about giving space and treating everyone equally, regardless of any prior characteristic, such as ethnicity or gender.",T2,"C3, C7",,
#P19,Work with any person regardless of how they are,T5,C4,,
#P20,Representativeness of all cultural and social expressions in an organization.,T1,C1,,
#P21,Everyone is respected and treated with respect. The fact that a person has some characteristic that is different from the majority of people around is not a factor to exclude them or prevent their access.,T2,"C4, C7",,
#P22,"Coexistence with people of different orientations, characteristics and experiences promote better results at work. Minorities having access to encouraged work opportunities.",T3,"C1, C2, C3, C9",,
#P23,I understand it as giving the same opportunities to everyone regardless of orientation or condition.,T5,C3,,
#P24,Include everyone without discrimination,T2,C7,,
#P25,"ethnicities, pcd, lgbt+ at all levels",T1,C1,,
#P26,,T6,,,
#P27,Provide an environment where people from minoritized groups have equal opportunities.,T2,C3,,
#P28,"Diversity is inviting people to the party, inclusion is asking them to dance.",T4,"C1, C5",,
#P29,"Diversity refers to the variety of characteristics among people, while inclusion means creating an environment where all people are valued and have equal opportunities.",T3,"C1, C3",,
#P30,Ability to compose a team with people of different sociocultural characteristics,T5,C2,,
#P31,"They are practices and policies aimed at a more egalitarian environment where different groups are welcomed in different ways according to their needs and characteristics, aiming to reduce the existing opportunity gap.",T2,"C6, C4, C7",,
#P32,Serve diverse groups and make people feel comfortable working and expressing that they belong to one of these groups.,T5,"C4, C5",,
#P33,"Diversity talks about a way of seeing diverse social groups and inclusion shows us that we need to find ways to include these diverse people in various environments in an equitable way to the groups that have the majority in the environment. It is not enough to include, we also need to make these people feel that they belong to the environment.",T4,"C4, C3",,
#P34,"Diversity refers to the presence of differences within a group, including characteristics such as ethnicity, gender, age, religion, disability and sexual orientation, among others. Inclusion is the practice of creating environments in which any individual or group within their differences can be and feel welcomed, respected, supported and valued to fully participate.",T3,"C1, C2, C4, C5",,
#P35,That people have the same opportunity regardless of their backgrounds,T5,C3,,
#P36,equity policies among diverse ethnic identities,T5,"C1, C6",,
#P37,"Diversity is when we have a group of people who have different life experiences, ethnicities, sexualities and inclusion is making this group of people feel comfortable in the environment",T4,"C1, C2, C4",,
#P38,Plurality in a way that everyone is included,T5,C4,,
