ID,O que você entende por discriminação e preconceito?,,,Type of definition (HOW they define D&I),
#P01,"Separate and make judgments based on ""differences""",T1,C1,T1. Defines prejudice only,"The respondent defines prejudice (as an attitude, belief, or judgment) but does not explicitly define discrimination."
#P02,"Negative approach toward a person based on some characteristic of theirs, prior to understanding them.",T1,"C1, C2",T2. Defines discrimination only,The respondent defines discrimination (as an action or practice) but does not explicitly define prejudice.
#P03,Treat someone differently because of a certain characteristic they have,T2,"C3, C6",T3. Defines prejudice and discrimination separately,"The respondent provides distinct definitions for prejudice and discrimination (e.g., “prejudice is…, discrimination is …”)."
#P04,When people are treated negatively for being different,T2,"C3, C6",T4. Defines prejudice and discrimination complementarly,"The respondent explicitly relates the two concepts, indicating that prejudice leads to discrimination or that discrimination reinforces prejudice."
#P05,Intolerance regarding people's choices,T1,C2,T5. Generic or vague definition,"The respondent provides a broad, abstract, or value-based statement without a clear definition of either concept."
#P06,Loss of opportunities due to personal characteristics that differ from the majority.,T2,C4,T6. Blank / out of context,"The response is empty, unintelligible, or not related to the question."
#P07,"Discrimination is unequal treatment based on personal characteristics, while prejudice refers to preformed negative opinions about individuals.",T3,"C1, C3",,
#P08,It is any negative and stereotyped action regarding a certain matter in a way that causes problems and results in differential treatment among people.,T2,"C3, C1, C9",Content of the definition (WHAT they mean),
#P09,Exclude people who are different or commonly marginalized.,T2,"C4, C6",C1. Prior judgment or stereotyping,"The response refers to judging, labeling, or stereotyping individuals or groups before knowing them."
#P10,"Discrimination, for me, is different treatment (mostly pejorative) given to an individual for being part of a group (e.g., Black people). Prejudice, on the other hand, is the formation of a preconceived notion about an individual and/or their abilities.",T3,"C3, C6, C1, C9",C2. Bias or personal preference,"The response refers to conscious or unconscious bias, favoritism, or preference toward or against certain people."
#P11,Discrimination – different treatment of people for belonging to specific groups.,T2,"C3, C6",C3. Unequal or unfair treatment,The response describes treating individuals differently or unfairly based on personal characteristics.
#P12,"When a person is judged solely based on gender, ethnicity, sexual orientation…",T1,"C1, C6",C4. Exclusion or denial of opportunities,"The response refers to excluding people or denying access to jobs, promotions, participation, or resources."
#P13,Exclusion,T2,C4,"C5. Harassment, humiliation, or microaggressions","The response mentions insults, jokes, humiliation, hostile behavior, or everyday offensive actions."
#P14,NA,T6,,C6. Targeted groups or social dimensions,"The respondent explicitly mentions affected groups or attributes (e.g., race, gender, sexuality, disability, age, religion, nationality, social class)."
#P15,when there is the judgment or disadvantaging of your work for a characteristic of yours that is judged as different by a social standard.,T4,"C1, C4, C6, C7",C7. Structural or systemic factors,"The response frames the issue as embedded in organizational, social, or institutional structures or processes."
#P16,"Harm or exclude people based on skin color, gender or other characteristics.",T2,"C4, C9, C6","C8. Equality, fairness, or rights framing","The response emphasizes equality, fairness, justice, equity, or equal rights."
#P17,"By discrimination I understand the devices and processes created to give differential treatment to people based on existential conditions. These treatments usually reinforce the ethical and moral distortions of those in power against historically oppressed groups.

Prejudice is the ability to take action based on the formation of opinions about individuals and situations grounded in discriminatory precepts.",T3,"C3, C6, C7, C9, C1",C9. Intent versus impact or moral judgment,The respondent distinguishes intention from impact or explicitly evaluates prejudice/discrimination as morally wrong.
#P18,"I believe it is an exotic behavior that occurs solely because of a condition of the other person that should not trigger such behavior, such as ethnic origin or gender identity.",T2,"C3, C6, C9",C10. Meritocracy or skills-first framing,"The response emphasizes competence or skills over personal characteristics, sometimes minimizing structural inequality."
#P19,Passive-aggressive jokes,T2,C5,C11. Reverse discrimination or anti-DEI framing,The response mentions reverse discrimination or criticizes affirmative action or diversity initiatives.
#P20,Mental behavior patterns that disregard human diversity.,T5,"C2, C9",,
#P21,"Favor people who are close to what is conventionally understood as ""typical"" or ""standard,"" to the detriment of ""non-typical"" people. Disrespect, make jokes, or provoke negatively because a person has a certain diversity.",T2,"C3, C6, C5, C9",,
#P22,Hinder minorities' access to work based on stereotypes.,T2,"C4, C6",,
#P23,It means depriving someone of opportunities or benefits due to some personal orientation or condition.,T2,"C4, C6",,
#P24,An opinion you have based on pre-established concepts that are not necessarily true.,T1,"C1, C2",,
#P25,lower salarios for example,T2,"C3, C4",,
#P26,,T6,,,
#P27,Negative differential treatment of marginalized groups based on their characteristics.,T2,"C3, C6, C9",,
#P28,"Not only taking away opportunities because a person belongs to an underrepresented group, but also ignoring the impact of previous experiences on current issues. I mentioned above the famous phrase about going beyond just inviting to the party and inviting to dance—in this case, it would be providing support for a dance class and helping overcome shyness, if necessary, before putting the person on the dance floor.",T2,"C4, C6, C7, C8",,
#P29,"Discrimination is treating someone unfairly based on personal characteristics, while prejudice is having negative or stereotyped opinions about groups of people without direct knowledge or experience.",T3,"C3, C1, C2",,
#P30,"in a certain way, the inability to compose teams or include people with different sociocultural characteristics in a given group",T2,"C4, C6, C7",,
#P31,"These are actions that explicitly or implicitly exclude a group of people and limit the opportunities they have. Beyond the issue of opportunity, discrimination and prejudice can have serious impacts on the quality of life of the excluded/discriminated groups.",T4,"C4, C3, C6, C9",,
#P32,Exclude a certain group of people or treat differently those who belong to a social minority.,T2,"C4, C6",,
#P33,"Pure ignorance. Lack of knowing others. Lack of compassion. Compassion is putting yourself in someone else's place, but swapping lives with them. It’s not thinking about how the other person would think, but rather embodying the other person and giving an opinion according to their perspective. I believe discrimination and prejudice exist only because we do not practice compassion as a society.",T5,"C2, C7, C9",,
#P34,"Discrimination is the act of treating someone unfairly or as inferior based on characteristics such as race, gender, age, or other differences. Prejudice is a culturally preconceived judgment or opinion about someone, often based on stereotypes or lack of information, without direct knowledge.",T3,"C3, C6, C1",,
#P35,"From the moment a “joke” is made that everyone laughs at except the person who was exposed, for me that is where discrimination and/or prejudice begins, even if veiled in a joke.",T5,"C5, C9",,
#P36,"A prior judgment, repeatedly negative, made based on physical characteristics, customs, and clothing.",T1,"C1, C6",,
#P37,"Discrimination is when you distinguish a person based on sexuality, ethnicity, social class.",T2,"C3, C6",,
#P38,"Exclusion based on a specific criterion (race, sexuality, age, religion, etc.)",T2,"C4, C6",,
#P39,"Discrimination is treating someone unfairly or differently based on characteristics such as race, gender, or ethnic origin. Prejudice is having negative opinions or preconceived judgments about certain groups of people without a factual basis.",T3,"C3, C6, C1, C2",,
#P40,"Discrimination and prejudice are bad things that happen when some people treat others unfairly because of their differences. For example, if someone dislikes another person just because they have a different skin color, that is prejudice. And if that person doesn’t let the other participate in activities just because of that, it is discrimination. It’s like picking teams in gym class and not letting someone play just because you don’t like the clothes they are wearing. It’s wrong and it hurts people’s feelings.",T4,"C1, C3, C4, C6, C9",,
#P41,Prejudgmental and dogmatic judgment of people based on their characteristics,T1,"C1, C2, C6",,
#P42,Act unfairly toward these people. Have negative ideas about these people,T4,"C3, C1, C9",,
#P43,Inequality,T5,C8,,
#P44,"Aggressions, not only physical, against people from minority groups, motivated especially by characteristics that make them part of a minority.",T2,"C5, C3, C6",,
#P45,Attack against something or someone based on some characteristic that differentiates you from that subject.,T2,"C3, C5, C9, C6",,
#P46,"When in the group there is only one type of ethnicity, and differences in color, race, and their cultures are not respected.",T2,"C4, C6, C7",,
#P47,"I understand prejudice as the negative judgment of someone based on their differences, while discrimination is the unfair and excessive behavior that results from prejudice.",T4,"C1, C3, C9",,
#P48,Intolerance toward the different,T1,"C2, C9",,
#P49,For example: racism.,T5,C6,,
#P50,I understand it as having negative or stereotyped ideas about a group of people and acting unfairly toward them based on those ideas.,T4,"C1, C3",,
#P51,"Prevent people from accessing something based on characteristics such as race, gender…",T2,"C4, C6",,
#P52,"It is a person being defined by their place, color, ethnicity, sexual orientation, gender, etc. For example, the stupid idea that women were born to provide care and men were not.",T1,"C1, C6, C9",,
#P53,Segregation or the prevention of advancement for reasons without relevant justification,T2,"C3, C4",,
#P54,"Disrespect toward those who are different from you, whether due to race, belief, sexual orientation or gender identity, ableism, and even age or differences in body appearance.",T2,"C5, C6, C9",,
#P55,Denial of historical and social reality,T5,"C7, C9",,
#P56,"Exclusion of people with different characteristics, needs, and ideologies in any environment.",T2,"C4, C6",,
#P57,Prevent or deny a diverse person from doing what they are able to do due to lack of adaptation and/or lack of understanding of the situation.,T2,"C4, C6, C7",,
#P58,"I understand prejudice as a direct result of discrimination. Discrimination arises with the intent to perpetuate some prejudice because, if we look at the dictionary, to DISCRIMINATE in its scientific sense is “to perceive differences; to distinguish,” but DISCRIMINATION encompasses this concept and adds not only perceiving differences, but actually using them to distinguish people and place them into groups.",T4,"C1, C3, C6, C9",,
#P59,The non-acceptance of individuals for being different from others. Often due to skin color or lack of knowledge.,T1,"C2, C6",,
#P60,"i don’t know how to differentiate both, but it’s judging without knowing deeply, assuming stereotypes as truths, and such.",T5,"C1, C2",,
